IssuerOrgName,IssuerComName,IssuerCountry,SubjectCountry,SubjectDetails,SubjectAltNames,SubjectValidity,Malicious
DigiCert Inc,DigiCert SHA2 High Assurance Server CA,US,US,3,9,84,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,16,84,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,132,84,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,132,84,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,US,3,0,365,0
DigiCert Inc,DigiCert SHA2 High Assurance Server CA,US,US,3,6,83,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,0,84,0
Sectigo Limited,Sectigo ECC Domain Validation Secure Server CA,GB,None,0,0,396,0
DigiCert Inc,DigiCert SHA2 Secure Server CA,US,US,3,25,184,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,3,84,0
Let's Encrypt,R3,US,None,0,0,90,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,16,84,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,132,84,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,132,84,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,132,84,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,132,84,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,132,84,0
DigiCert Inc,DigiCert TLS Hybrid ECC SHA384 2020 CA1,US,US,3,39,386,0
Sectigo Limited,Sectigo ECC Domain Validation Secure Server CA,GB,None,0,0,396,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,US,3,94,376,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,2,364,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,132,84,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,2,364,0
DigiCert Inc,DigiCert SHA2 Extended Validation Server CA,US,US,7,0,365,0
DigiCert Inc,DigiCert TLS Hybrid ECC SHA384 2020 CA1,US,US,3,0,394,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,132,84,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,132,84,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,132,84,0
Apple Inc.,Apple Public EV Server RSA CA 2 - G1,US,US,8,83,395,0
DigiCert Inc,DigiCert Global CA G2,US,None,0,37,364,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,132,84,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,0,90,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,2,365,0
Amazon,Amazon RSA 2048 M01,US,None,0,1,394,0
Sectigo Limited,Sectigo ECC Domain Validation Secure Server CA,GB,None,0,0,396,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,US,3,0,365,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,0,84,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,US,3,0,179,0
GlobalSign nv-sa,GlobalSign Organization Validation CA - SHA256 - G2,BE,RU,3,16,341,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,111,84,0
DigiCert Inc,DigiCert SHA2 High Assurance Server CA,US,US,3,13,199,0
DigiCert Inc,Thawte RSA CA 2018,US,None,0,27,396,0
Amazon,Amazon RSA 2048 M01,US,None,0,11,364,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,1,365,0
GlobalSign nv-sa,GlobalSign GCC R3 DV TLS CA 2020,BE,None,0,0,397,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,1,84,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,132,84,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,1,84,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,0,84,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,SE,2,0,365,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,2,364,0
Let's Encrypt,R3,US,None,0,0,90,0
Apple Inc.,Apple Public EV Server RSA CA 2 - G1,US,US,8,83,395,0
Microsoft Corporation,Microsoft Azure TLS Issuing CA 05,US,US,3,126,360,0
GlobalSign nv-sa,GlobalSign RSA OV SSL CA 2018,BE,BE,3,0,397,0
"GoDaddy.com, Inc.",Go Daddy Secure Certificate Authority - G2,US,None,0,0,397,0
GlobalSign nv-sa,GlobalSign RSA OV SSL CA 2018,BE,GB,3,4,397,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,0,84,0
Sectigo Limited,Sectigo ECC Domain Validation Secure Server CA,GB,None,0,0,396,0
Apple Inc.,Apple Public EV Server RSA CA 2 - G1,US,US,8,5,395,0
Microsoft Corporation,Microsoft RSA TLS CA 02,US,None,0,69,181,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,0,89,0
GlobalSign nv-sa,GlobalSign Atlas R3 DV TLS CA 2022 Q3,BE,None,0,0,397,0
Amazon,Amazon RSA 2048 M01,US,None,0,8,365,0
"DigiCert, Inc.",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,US,None,0,0,396,0
"GoDaddy.com, Inc.",Go Daddy Secure Certificate Authority - G2,US,None,0,0,397,0
GlobalSign nv-sa,GlobalSign Atlas R3 DV TLS CA 2022 Q4,BE,None,0,31,397,0
Let's Encrypt,R3,US,None,0,0,90,0
Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,GB,None,0,0,345,0
Apple Inc.,Apple Public EV Server ECC CA 1 - G1,US,US,8,0,395,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,132,84,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,16,84,0
GlobalSign nv-sa,GlobalSign Atlas R3 DV TLS CA 2022 Q3,BE,None,0,0,397,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,US,3,0,396,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,US,3,0,396,0
Sectigo Limited,Sectigo ECC Domain Validation Secure Server CA,GB,None,0,0,396,0
Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,GB,None,0,0,180,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,132,84,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,2,365,0
Microsoft Corporation,Microsoft Azure TLS Issuing CA 05,US,US,3,12,360,0
GlobalSign nv-sa,GlobalSign Atlas R3 DV TLS CA 2022 Q4,BE,None,0,0,397,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,4,89,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,0,365,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,AU,3,0,396,0
Let's Encrypt,R3,US,None,0,0,90,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,0,84,0
Amazon,Amazon RSA 2048 M01,US,None,0,0,242,0
GlobalSign nv-sa,GlobalSign Atlas R3 DV TLS CA 2022 Q4,BE,None,0,0,397,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,1,365,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,US,3,0,366,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,0,84,0
"GoDaddy.com, Inc.",Go Daddy Secure Certificate Authority - G2,US,None,0,0,397,0
Sectigo Limited,Sectigo RSA Organization Validation Secure Server CA,GB,US,2,62,365,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,3,84,0
"Entrust, Inc.",Entrust Certification Authority - L1K,US,US,3,0,395,0
GlobalSign nv-sa,GlobalSign RSA OV SSL CA 2018,BE,GB,3,4,397,0
DigiCert Inc,DigiCert TLS Hybrid ECC SHA384 2020 CA1,US,US,3,39,386,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,US,3,2,396,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,US,3,50,349,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,3,84,0
Amazon,Amazon RSA 2048 M01,US,None,0,0,128,0
"GoDaddy.com, Inc.",Go Daddy Secure Certificate Authority - G2,US,None,0,0,365,0
Google Trust Services LLC,GTS CA 1D4,US,None,0,0,90,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,42,84,0
Amazon,Amazon RSA 2048 M02,US,None,0,64,394,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,0,84,0
GlobalSign nv-sa,GlobalSign Atlas R3 DV TLS CA 2022 Q4,BE,None,0,0,397,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,132,84,0
Google Trust Services LLC,GTS CA 1D4,US,None,0,0,90,0
GlobalSign nv-sa,GlobalSign Atlas R3 DV TLS CA 2022 Q4,BE,None,0,6,397,0
GlobalSign nv-sa,GlobalSign Atlas R3 DV TLS CA 2022 Q3,BE,None,0,121,397,0
Let's Encrypt,R3,US,None,0,0,90,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,132,84,0
Amazon,Amazon RSA 2048 M01,US,None,0,0,136,0
GlobalSign nv-sa,GlobalSign Atlas R3 DV TLS CA 2023 Q1,BE,None,0,0,397,0
Apple Inc.,Apple Public EV Server RSA CA 2 - G1,US,US,8,83,395,0
Let's Encrypt,R3,US,None,0,0,90,0
Let's Encrypt,R3,US,None,0,8,90,0
"Entrust, Inc.",Entrust Certification Authority - L1K,US,US,3,51,365,0
Let's Encrypt,R3,US,None,0,0,90,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,2,365,0
DigiCert Inc,DigiCert SHA2 High Assurance Server CA,US,US,3,40,176,0
"Entrust, Inc.",Entrust Certification Authority - L1K,US,US,3,0,369,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,1,365,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,132,84,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,2,365,0
Amazon,Amazon RSA 2048 M02,US,None,0,1,221,0
Sectigo Limited,Sectigo ECC Domain Validation Secure Server CA,GB,None,0,0,396,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,2,84,0
Amazon,Amazon RSA 2048 M02,US,None,0,0,341,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,132,84,0
Amazon,Amazon RSA 2048 M02,US,None,0,0,135,0
Amazon,Amazon RSA 2048 M02,US,None,0,0,395,0
DigiCert Inc,DigiCert TLS Hybrid ECC SHA384 2020 CA1,US,NO,3,0,372,0
DigiCert Inc,DigiCert SHA2 Extended Validation Server CA,US,US,7,0,365,0
DigiCert Inc,DigiCert Global CA G2,US,None,0,37,364,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,132,84,0
"Entrust, Inc.",Entrust Certification Authority - L1K,US,US,3,0,365,0
Amazon,Amazon RSA 2048 M01,US,None,0,6,365,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,4,365,0
"GoDaddy.com, Inc.",Go Daddy Secure Certificate Authority - G2,US,None,0,0,397,0
Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,GB,None,0,0,396,0
DigiCert Inc,DigiCert Global CA G2,US,None,0,37,364,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,132,84,0
Apple Inc.,Apple Public EV Server ECC CA 1 - G1,US,US,8,3,395,0
Amazon,Amazon RSA 2048 M01,US,None,0,0,362,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,111,84,0
Amazon,Amazon RSA 2048 M02,US,None,0,0,115,0
DigiCert Inc,DigiCert TLS Hybrid ECC SHA384 2020 CA1,US,US,3,39,386,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,0,365,0
Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,GB,None,0,0,396,0
DigiCert Inc,GeoTrust TLS RSA CA G1,US,None,0,0,372,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,132,84,0
GlobalSign nv-sa,GlobalSign Atlas R3 DV TLS CA 2022 Q4,BE,None,0,28,397,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,2,365,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,US,3,79,119,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,2,365,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,US,3,0,368,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,9,84,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,132,84,0
DigiCert Inc,DigiCert SHA2 High Assurance Server CA,US,US,3,9,84,0
Amazon,Amazon RSA 2048 M02,US,None,0,0,395,0
DigiCert Inc,DigiCert SHA2 High Assurance Server CA,US,US,3,9,84,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,2,364,0
COMODO CA Limited,COMODO RSA Organization Validation Secure Server CA,GB,US,2,145,365,0
DigiCert Inc,DigiCert SHA2 High Assurance Server CA,US,US,3,15,176,0
GlobalSign nv-sa,GlobalSign Atlas R3 DV TLS CA 2022 Q3,BE,None,0,0,397,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,0,84,0
GlobalSign nv-sa,GlobalSign Atlas R3 DV TLS CA 2023 Q1,BE,None,0,3,397,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,119,84,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,132,84,0
Amazon,Amazon RSA 2048 M01,US,None,0,0,126,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,US,3,19,367,0
ZeroSSL,ZeroSSL RSA Domain Secure Site CA,AT,None,0,3,90,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,0,84,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,9,365,0
Let's Encrypt,R3,US,None,0,0,90,0
Let's Encrypt,R3,US,None,0,5,90,0
Amazon,Amazon RSA 2048 M01,US,None,0,5,365,0
Amazon,Amazon RSA 2048 M01,US,None,0,0,300,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,IT,2,0,380,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,132,84,0
DigiCert Inc,DigiCert SHA2 High Assurance Server CA,US,US,3,5,86,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,1,365,0
ZeroSSL,ZeroSSL RSA Domain Secure Site CA,AT,None,0,0,90,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,11,84,0
Let's Encrypt,R3,US,None,0,0,90,0
GlobalSign nv-sa,GlobalSign Atlas R3 DV TLS CA 2022 Q4,BE,None,0,51,397,0
GlobalSign nv-sa,GlobalSign Atlas R3 DV TLS CA 2023 Q1,BE,None,0,38,397,0
DigiCert Inc,DigiCert TLS Hybrid ECC SHA384 2020 CA1,US,US,3,39,386,0
DigiCert Inc,DigiCert TLS Hybrid ECC SHA384 2020 CA1,US,US,3,39,386,0
GlobalSign nv-sa,AlphaSSL CA - SHA256 - G2,BE,None,0,0,397,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,111,84,0
Amazon,Amazon RSA 2048 M01,US,None,0,34,170,0
Amazon,Amazon RSA 2048 M02,US,None,0,26,108,0
Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,GB,None,0,0,365,0
Microsoft Corporation,Microsoft Azure TLS Issuing CA 01,US,US,3,0,360,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,111,84,0
Let's Encrypt,R3,US,None,0,28,90,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,US,3,2,396,0
Amazon,Amazon RSA 2048 M01,US,None,0,0,142,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,111,84,0
COMODO CA Limited,COMODO RSA Organization Validation Secure Server CA,GB,US,2,0,365,0
Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,GB,None,0,38,283,0
Let's Encrypt,R3,US,None,0,0,90,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,2,365,0
Let's Encrypt,R3,US,None,0,0,90,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,US,3,0,365,0
Let's Encrypt,R3,US,None,0,0,90,0
DigiCert Inc,DigiCert SHA2 Extended Validation Server CA,US,US,7,9,366,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,US,3,56,350,0
DigiCert Inc,DigiCert TLS Hybrid ECC SHA384 2020 CA1,US,US,3,22,364,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,US,3,8,365,0
Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,GB,None,0,0,365,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,0,84,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,9,84,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,0,84,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,US,3,4,396,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,US,3,0,380,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,US,3,0,365,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,8,90,0
DigiCert Inc,DigiCert SHA2 High Assurance Server CA,US,US,3,13,199,0
Let's Encrypt,R3,US,None,0,0,90,0
Let's Encrypt,R3,US,None,0,0,90,0
Apple Inc.,Apple Public EV Server RSA CA 2 - G1,US,US,8,83,395,0
Microsoft Corporation,Microsoft Azure TLS Issuing CA 06,US,US,3,0,360,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,US,3,0,393,0
"GoDaddy.com, Inc.",Go Daddy Secure Certificate Authority - G2,US,None,0,0,397,0
Amazon,Amazon RSA 2048 M02,US,None,0,2,246,0
Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,GB,None,0,3,396,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,0,365,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,132,84,0
GlobalSign nv-sa,GlobalSign RSA OV SSL CA 2018,BE,US,3,45,393,0
Let's Encrypt,R3,US,None,0,0,90,0
Let's Encrypt,R3,US,None,0,8,90,0
"Cybertrust Japan Co., Ltd.",Cybertrust Japan SureServer CA G4,JP,JP,3,0,394,0
DigiCert Inc,DigiCert Global G2 TLS RSA SHA256 2020 CA1,US,CA,3,0,396,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,132,84,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,1,364,0
GlobalSign nv-sa,GlobalSign RSA OV SSL CA 2018,BE,GB,3,11,348,0
Google Trust Services LLC,GTS CA 1P5,US,None,0,0,90,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,1,365,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,0,84,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,CA,3,0,364,0
GlobalSign nv-sa,GlobalSign Atlas R3 DV TLS CA 2022 Q4,BE,None,0,2,397,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,0,365,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,2,365,0
Let's Encrypt,R3,US,None,0,25,90,0
"Starfield Technologies, Inc.",Starfield Secure Certificate Authority - G2,US,None,0,0,397,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,FR,2,0,365,0
GlobalSign nv-sa,GlobalSign Atlas R3 DV TLS CA 2022 Q4,BE,None,0,0,397,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,0,84,0
DigiCert Inc,DigiCert Global CA G2,US,None,0,37,364,0
DigiCert Inc,GeoTrust RSA CA 2018,US,US,3,40,364,0
GlobalSign nv-sa,GlobalSign Atlas R3 DV TLS CA 2022 Q3,BE,None,0,0,397,0
"Entrust, Inc.",Entrust Certification Authority - L1K,US,US,3,0,395,0
Let's Encrypt,R3,US,None,0,0,90,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,132,84,0
GlobalSign nv-sa,GlobalSign Atlas R3 DV TLS CA 2022 Q4,BE,None,0,28,397,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,18,364,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,US,3,0,365,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,1,364,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,IL,2,4,358,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,US,3,0,365,0
GlobalSign nv-sa,GlobalSign Atlas R3 DV TLS CA 2022 Q3,BE,None,0,121,397,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,US,3,71,364,0
Google Trust Services LLC,GTS CA 1D4,US,None,0,0,90,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,US,3,6,396,0
DigiCert Inc,DigiCert SHA2 High Assurance Server CA,US,US,3,5,86,0
Amazon,Amazon RSA 2048 M01,US,None,0,1,295,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,4,365,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,132,84,0
Sectigo Limited,Sectigo RSA Organization Validation Secure Server CA,GB,KR,2,0,396,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,0,84,0
"Starfield Technologies, Inc.",Starfield Secure Certificate Authority - G2,US,None,0,0,397,0
DigiCert Inc,DigiCert SHA2 High Assurance Server CA,US,US,3,0,396,0
GlobalSign nv-sa,GlobalSign Atlas R3 DV TLS CA 2022 Q4,BE,None,0,0,397,0
GlobalSign nv-sa,GlobalSign Atlas R3 DV TLS CA 2023 Q1,BE,None,0,0,397,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,US,3,13,396,0
Internet2,InCommon RSA Server CA,US,US,2,68,365,0
Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,GB,None,0,0,388,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,US,3,4,365,0
Amazon,Amazon RSA 2048 M01,US,None,0,24,188,0
Amazon,Amazon RSA 2048 M02,US,None,0,9,228,0
DigiCert Inc,DigiCert TLS Hybrid ECC SHA384 2020 CA1,US,US,3,0,393,0
DigiCert Inc,DigiCert TLS Hybrid ECC SHA384 2020 CA1,US,NL,2,0,365,0
GlobalSign nv-sa,GlobalSign RSA OV SSL CA 2018,BE,BE,3,0,397,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,132,84,0
DigiCert Inc,DigiCert SHA2 High Assurance Server CA,US,US,3,74,51,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,0,84,0
"GoDaddy.com, Inc.",Go Daddy Secure Certificate Authority - G2,US,None,0,0,397,0
Amazon,Amazon RSA 2048 M02,US,None,0,2,331,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,0,89,0
"GoDaddy.com, Inc.",Go Daddy Secure Certificate Authority - G2,US,None,0,0,397,0
Let's Encrypt,R3,US,None,0,0,90,0
Let's Encrypt,R3,US,None,0,0,90,0
Amazon,Amazon RSA 2048 M01,US,None,0,9,394,0
Let's Encrypt,R3,US,None,0,0,90,0
Let's Encrypt,R3,US,None,0,0,90,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,2,365,0
Amazon,Amazon RSA 2048 M02,US,None,0,0,394,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,2,365,0
Let's Encrypt,R3,US,None,0,67,90,0
Sectigo Limited,Sectigo RSA Organization Validation Secure Server CA,GB,US,2,0,365,0
Apple Inc.,Apple Public Server RSA CA 12 - G1,US,US,2,0,395,0
Google Trust Services LLC,GTS CA 1P5,US,None,0,0,90,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,2,365,0
DigiCert Inc,DigiCert SHA2 Extended Validation Server CA,US,US,7,2,391,0
DigiCert Inc,DigiCert SHA2 Extended Validation Server CA,US,US,7,0,90,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,2,364,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,US,3,26,365,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,0,365,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,0,365,0
Let's Encrypt,R3,US,None,0,0,90,0
DigiCert Inc,DigiCert SHA2 High Assurance Server CA,US,US,3,9,84,0
Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,GB,None,0,0,396,0
Gandi,Gandi Standard SSL CA 2,FR,None,0,0,396,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,US,3,25,366,0
Amazon,Amazon RSA 2048 M01,US,None,0,0,107,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,US,3,0,365,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,US,3,0,365,0
Let's Encrypt,R3,US,None,0,7,90,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,0,84,0
GlobalSign nv-sa,GlobalSign Atlas R3 DV TLS CA 2023 Q1,BE,None,0,0,397,0
"Entrust, Inc.",Entrust Certification Authority - L1K,US,US,3,0,394,0
Let's Encrypt,R3,US,None,0,0,90,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,132,84,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,GB,2,0,367,0
Sectigo Limited,Sectigo ECC Domain Validation Secure Server CA,GB,None,0,0,396,0
GlobalSign nv-sa,GlobalSign RSA OV SSL CA 2018,BE,US,3,8,397,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,US,3,2,396,0
Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,GB,None,0,0,365,0
Microsoft Corporation,Microsoft Azure TLS Issuing CA 05,US,US,3,0,360,0
Sectigo Limited,Sectigo RSA Organization Validation Secure Server CA,GB,US,2,0,386,0
GlobalSign nv-sa,GlobalSign Atlas R3 DV TLS CA 2022 Q4,BE,None,0,51,397,0
Let's Encrypt,R3,US,None,0,0,90,0
GlobalSign nv-sa,GlobalSign Atlas R3 DV TLS CA 2022 Q4,BE,None,0,0,397,0
Amazon,Amazon RSA 2048 M01,US,None,0,0,289,0
Let's Encrypt,R3,US,None,0,0,90,0
Sectigo Limited,Sectigo RSA Organization Validation Secure Server CA,GB,GB,2,33,365,0
DigiCert Inc,DigiCert SHA2 High Assurance Server CA,US,US,3,98,176,0
Let's Encrypt,R3,US,None,0,0,90,0
"Entrust, Inc.",Entrust Certification Authority - L1K,US,US,3,0,394,0
Microsoft Corporation,Microsoft Azure TLS Issuing CA 05,US,US,3,151,360,0
"Entrust, Inc.",Entrust Certification Authority - L1K,US,US,3,0,385,0
DigiCert Inc,GeoTrust RSA CA 2018,US,US,3,20,362,0
Google Trust Services LLC,GTS CA 1D4,US,None,0,0,90,0
Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,GB,None,0,0,395,0
DigiCert Inc,DigiCert Global G2 TLS RSA SHA256 2020 CA1,US,US,3,0,396,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,US,3,42,367,0
Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,GB,None,0,0,396,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,0,365,0
DigiCert Inc,DigiCert TLS Hybrid ECC SHA384 2020 CA1,US,US,7,0,395,0
Sectigo Limited,Sectigo ECC Domain Validation Secure Server CA,GB,None,0,0,396,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,US,3,0,365,0
Microsoft Corporation,Microsoft Azure TLS Issuing CA 05,US,US,3,0,360,0
Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,GB,None,0,0,352,0
